id,yield
15289,4302.48909732121
15290,6115.184078865224
15291,7253.375264687135
15292,4969.890663066037
15293,3686.7675943363993
15294,4976.550965775391
15295,7203.179980962396
15296,6448.298449817185
15297,8389.526159901468
15298,4213.094644590848
15299,5874.409440260232
15300,5893.070547655184
15301,5522.472680568009
15302,5671.370848536039
15303,5073.428885747253
15304,4878.260403952436
15305,4839.001118840104
15306,6333.190845337421
15307,5023.422442310896
15308,5852.917470759455
15309,6195.631865165244
15310,7575.35860333411
15311,1193.7854204672128
15312,5158.01595149094
15313,6386.546954489608
15314,5108.605905015405
15315,4594.60279719275
15316,7980.584008220557
15317,5644.413333606129
15318,7839.698342826924
15319,8154.424174614203
15320,6991.701603175856
15321,6616.11939298717
15322,2697.7162801567965
15323,5909.31537045627
15324,2624.8570620889427
15325,7144.232817962241
15326,6203.701224183294
15327,4177.894507364406
15328,7830.709387309926
15329,7717.277686093426
15330,5161.296925866048
15331,5766.381143031843
15332,6878.332674265315
15333,6389.7940157169305
15334,5581.167067921462
15335,8021.087872541018
15336,4161.314351217529
15337,7549.077371453963
15338,6181.122374549713
15339,5535.5398767659135
15340,6712.676646334006
15341,5715.018987754564
15342,5333.321585344426
15343,6714.570424816974
15344,6070.649412842708
15345,4445.734745595398
15346,6113.6731487369025
15347,6254.036224273994
15348,4732.378312627441
15349,6517.800801222062
15350,4641.258770261701
15351,6101.052442868046
15352,5859.911775376157
15353,6865.290058815281
15354,4329.081721635892
15355,4490.066206084735
15356,6065.16684173672
15357,6206.0762787667045
15358,6987.429357143169
15359,4984.2336590610375
15360,4478.354429792576
15361,5652.740578306569
15362,5991.988588798667
15363,6635.666531144658
15364,5123.712069820849
15365,4498.349922388757
15366,4762.258202230719
15367,7686.41349479345
15368,4941.337643479303
15369,5891.558694648033
15370,6426.49200603543
15371,3398.2243112924957
15372,4862.471105722641
15373,6203.920294994742
15374,5672.509199610079
15375,5484.835791928051
15376,5920.090668199188
15377,5666.202667847634
15378,4755.232719762147
15379,6044.608568938118
15380,7341.485433091442
15381,6124.70480704698
15382,5889.681831831094
15383,7348.419388262124
15384,5225.476627653454
15385,4268.742623782524
15386,4341.350372756154
15387,4381.796082112881
15388,6774.336922303612
15389,6118.094474408655
15390,8319.642583015768
15391,6400.0635843806285
15392,7227.56792555734
15393,5862.008766603003
15394,6056.844037958125
15395,5566.458328191747
15396,6903.908730431581
15397,6862.492027228709
15398,5641.131399050547
15399,5573.3849933607635
15400,4837.152674546299
15401,6171.813037041267
15402,6180.727926281328
15403,6120.855192914142
15404,7192.771801686882
15405,7507.806170244744
15406,8207.025139157759
15407,5729.360485198396
15408,7626.775108919035
15409,5868.3000788465715
15410,5874.078816935416
15411,8289.637764327113
15412,6663.966675096856
15413,6762.557854143048
15414,5664.911023811849
