id,price
188533,24133.224847105797
188534,66754.4093648498
188535,68793.04806448589
188536,37533.68110116199
188537,40823.52550148289
188538,28415.10081269825
188539,150.0
188540,68015.78132671281
188541,64585.96852357173
188542,47080.38244694681
188543,42839.29349238565
188544,150.0
188545,67260.09274233319
188546,88012.30316375382
188547,150.0
188548,73525.83563679107
188549,29513.841635876568
188550,1823.1873096087947
188551,63050.838336520595
188552,65336.93933799118
188553,63146.44803159824
188554,40423.38640494947
188555,60363.458201347385
188556,34822.07556868065
188557,26066.66658521816
188558,62469.81139846193
188559,27726.147037053946
188560,12691.810040239245
188561,74465.52635430382
188562,30624.150949411094
188563,71212.068659171
188564,61818.41152924532
188565,42948.03487661574
188566,38658.87499296293
188567,23583.001026889775
188568,72271.20275345072
188569,28930.0534060176
188570,17219.47658352554
188571,38029.07508045109
188572,68006.83079583943
188573,32737.429396443767
188574,53077.66850302601
188575,52909.818243016256
188576,49763.69315000228
188577,17289.12521562213
188578,36872.820989817614
188579,45933.49942721543
188580,54366.26276083081
188581,67724.1848601927
188582,32192.961506108288
188583,82637.5235016921
188584,41265.62530025351
188585,50827.69372821762
188586,47877.47504089377
188587,51252.19882315514
188588,37020.752526234835
188589,150.0
188590,31667.788402195787
188591,25868.06327983341
188592,35762.233119522454
188593,38455.655105733545
188594,64659.90685058897
188595,24122.981039660983
188596,45794.27720624814
188597,38872.361905224854
188598,43200.36750044022
188599,25285.490586425178
188600,54786.97323701135
188601,57841.85782081308
188602,48973.16042158636
188603,79206.90453452873
188604,13551.154736922588
188605,42441.57731593563
188606,51177.997954382794
188607,74118.91410733643
188608,26373.099347405136
188609,61644.026951373555
188610,57114.19685446168
188611,28163.45048075565
188612,59459.525212112814
188613,40015.24051555572
188614,150.0
188615,48488.5739131195
188616,71072.8375773963
188617,49354.08969309507
188618,31190.230727263028
188619,69280.67092728894
188620,30790.195188903017
188621,35179.764819690026
188622,80405.73720585904
188623,54771.74778593914
188624,45762.35859726393
188625,44198.46860969905
188626,5021.810052943882
188627,71897.31165541522
188628,73700.27334145014
188629,31109.227503823582
188630,43797.69486254384
188631,60782.82264246396
188632,47259.516478606034
188633,65465.363706847886
188634,6595.539800130529
188635,57620.162095592124
188636,60776.8810729438
188637,14270.385416860925
188638,29418.15021624393
188639,36670.56170267984
188640,9656.297329069814
188641,39098.88316787407
188642,25541.915438544238
188643,77100.63272573962
188644,75880.17209030525
188645,56595.67328458908
188646,150.0
188647,27251.498679115204
188648,26432.84736116021
188649,45467.91339969961
188650,75087.300175637
188651,47354.55268824403
188652,68036.45278922957
188653,62607.6109333362
188654,150.0
188655,21689.07693705475
188656,44432.342414897634
188657,40498.92315727379
188658,9784.394072790165
188659,66477.68368296651
188660,11975.421037316322
188661,62654.56710184738
188662,150.0
188663,23184.754751523025
188664,66673.57171240635
188665,89244.80064538494
188666,32726.95347494399
188667,20995.65728305257
188668,28450.74586689449
188669,35448.049216392916
188670,62117.371089790715
188671,17042.663966804976
188672,28331.393196013523
188673,61463.1961793981
188674,7911.763431713218
188675,150.0
188676,43102.18743914878
188677,16314.10228549596
188678,40658.656426923815
188679,56259.13320551254
188680,68952.85282714525
188681,12457.118873026688
188682,14039.762982128887
188683,150.0
188684,63117.21818623552
188685,74476.73233755585
188686,79190.40817963472
188687,5052.551506276242
188688,49958.884333901806
188689,21181.089235330233
188690,34289.334831529995
188691,52970.753324046265
188692,36721.77742965496
188693,19121.623398108408
188694,22825.94653846626
188695,21158.430283137364
188696,58682.51376599539
188697,43165.45137366373
188698,11907.256257447414
188699,66203.91256716242
188700,61178.328592811944
188701,33991.79322828911
188702,19974.881275911815
188703,73125.19238486537
188704,55174.36095906398
188705,30699.284526617732
188706,77832.81336830556
188707,15077.632584887324
188708,41193.6610132216
188709,14838.028475937434
188710,36265.301572963595
188711,45562.19805357815
188712,62964.16780825565
188713,50426.14131733519
188714,32775.05311709689
188715,53583.88032776001
188716,41010.87692811969
188717,23688.97526801424
188718,26395.254161719466
188719,29375.24989977223
188720,17200.210454290034
188721,73779.41677466175
188722,51781.81172282342
188723,36000.09958864725
188724,38901.14776479732
188725,4350.497749075526
188726,57937.16527007241
188727,32566.60698732105
188728,57859.610933281016
188729,30550.325722279027
188730,63751.38106348296
188731,68134.18575814948
188732,37817.1696013466
188733,28017.670829701936
188734,14963.902220856631
188735,150.0
188736,150.0
188737,80535.59445327288
188738,65401.61809240398
188739,53678.40586838219
188740,67738.01958417473
188741,46468.75659105391
188742,18428.077326665632
188743,42137.935993676074
188744,73252.57896888885
188745,49296.72947718669
188746,43854.750148882624
188747,51237.87416420784
188748,919.0227577772457
188749,58786.83074329328
